Oils-Energy,2022-09-23,APA,32.07140350341797,33.359336853027344,41.48695373535156,38.95988082885742,42.14067459106445,44.60206604003906,48.08660888671875,47.860843658447266,45.485477447509766,45.57381820678711,46.241275787353516,41.08808898925781,42.98249816894531,46.378692626953125,45.8192024230957,42.099090576171875,44.50391387939453,44.258522033691406,45.136592864990234,41.494476318359375,42.9947509765625,37.595733642578125,38.7110710144043,40.61602783203125,35.48350143432617,31.32813262939453,34.06218338012695,35.592079162597656,37.575992584228516,40.250823974609375,36.746891021728516,36.607757568359375,33.00162124633789,32.76319885253906,33.190372467041016,33.190372467041016,33.458595275878906,33.190372467041016,34.153995513916016,32.36582946777344,33.94537353515625,34.680511474609375,36.399139404296875,38.385990142822266,40.150001525878906
Computer and Technology,2022-09-22,GNRC,176.57000732421875,178.13999938964844,154.25999450683594,136.94000244140625,109.4800033569336,116.69999694824219,101.25,114.08000183105469,102.87000274658203,105.25,100.69999694824219,92.66999816894531,94.68000030517578,92.19000244140625,100.66000366210938,100.75,113.66000366210938,108.48999786376953,117.69999694824219,122.44000244140625,116.66000366210938,126.7699966430664,118.20999908447266,126.5999984741211,113.16000366210938,113.12999725341797,111.22000122070312,108.01000213623047,99.80000305175781,101.7300033569336,102.77999877929688,102.22000122070312,114.18000030517578,111.48999786376953,113.79000091552734,115.43000030517578,114.77999877929688,116.7699966430664,119.41999816894531,129.07000732421875,149.1300048828125,136.0800018310547,142.8800048828125,145.3000030517578,149.89999389648438
Transportation,2022-09-19,UHAL,50.066001892089844,50.922000885009766,53.70199966430664,52.13399887084961,53.435001373291016,58.42499923706055,54.012001037597656,52.88999938964844,57.29999923706055,59.02000045776367,66.83999633789062,64.37000274658203,59.779998779296875,59.52000045776367,60.189998626708984,60.33000183105469,64.51000213623047,65.79000091552734,67.19999694824219,68.72000122070312,64.88999938964844,64.70999908447266,64.54000091552734,66.08999633789062,60.689998626708984,56.939998626708984,54.16999816894531,59.650001525878906,57.68000030517578,60.22999954223633,60.880001068115234,61.060001373291016,61.84000015258789,61.5,62.83000183105469,63.18000030517578,54.599998474121094,55.2599983215332,54.060001373291016,53.11000061035156,55.31999969482422,55.599998474121094,60.119998931884766,61.2599983215332,60.400001525878906
Basic Materials,2022-09-16,NEM,42.3695182800293,39.98496627807617,40.74104309082031,41.29356384277344,39.490604400634766,41.070613861083984,41.545589447021484,39.73293685913086,45.10304260253906,43.745975494384766,44.44388961791992,47.17741012573242,44.977027893066406,45.25320816040039,46.93034362792969,46.29283905029297,51.67731857299805,53.305416107177734,52.3148307800293,52.29521179199219,48.891902923583984,47.05784606933594,44.54704666137695,42.703182220458984,43.84088897705078,41.349700927734375,47.69306945800781,48.069305419921875,48.53465270996094,51.53465270996094,49.02970504760742,47.14851379394531,46.930694580078125,48.23762512207031,45.485145568847656,43.22772216796875,40.27722930908203,41.67326736450195,41.459999084472656,43.83000183105469,41.58000183105469,42.65999984741211,42.2400016784668,44.97999954223633,43.209999084472656
,2022-09-12,VWAPY,11.775967597961426,10.894773483276367,9.757230758666992,10.093687057495117,9.580991744995117,10.317991256713867,10.277936935424805,10.598370552062988,11.880108833312988,11.711881637573242,11.34338092803955,11.703869819641113,11.53564167022705,11.679838180541992,9.797284126281738,11.533525466918945,12.716690063476562,12.651476860046387,12.576946258544922,12.716690063476562,13.182502746582031,12.74463939666748,13.061391830444336,12.56762981414795,13.974385261535645,13.201135635375977,11.922013282775879,11.934124946594238,12.670109748840332,12.558313369750977,13.024126052856445,12.455835342407227,12.688741683959961,13.036237716674805,12.01797103881836,12.970000267028809,12.800000190734863,12.949999809265137,13.550000190734863,14.029999732971191,13.281999588012695,13.40999984741211,13.350000381469727,13.760000228881836,13.8100004196167
Consumer Discretionary,2022-09-09,POOL,352.6414489746094,328.538330078125,309.6064453125,315.2434387207031,318.6018371582031,304.1676330566406,282.1745910644531,315.7982177734375,289.8919982910156,348.0843811035156,320.0180358886719,326.8163146972656,328.41650390625,328.99298095703125,311.11260986328125,303.7378234863281,300.48773193359375,313.3886413574219,346.9627990722656,350.590576171875,377.07818603515625,401.11083984375,366.9900207519531,374.2852783203125,354.1388244628906,359.34686279296875,346.2869567871094,339.7470397949219,324.1844177246094,341.3390808105469,325.21112060546875,329.18829345703125,342.1365051269531,350.1905517578125,352.8220520019531,337.561279296875,343.940673828125,328.010009765625,326.3599853515625,326.4200134277344,357.95001220703125,352.3399963378906,374.6400146484375,365.7200012207031,364.010009765625
Retail-Wholesale,2022-09-05,TGT,170.3387908935547,160.96109008789062,149.6999969482422,145.5604705810547,149.4351348876953,142.9119415283203,156.15452575683594,164.32568359375,156.58615112304688,170.0150909423828,159.774169921875,161.2698974609375,162.03982543945312,150.31324768066406,144.55853271484375,141.30116271972656,147.11509704589844,158.0815887451172,162.47413635253906,160.11500549316406,166.3336181640625,174.47708129882812,167.8241424560547,170.98280334472656,165.8370361328125,164.88348388671875,157.11607360839844,158.28814697265625,155.1692657470703,164.51597595214844,164.46630859375,159.9171142578125,161.08917236328125,156.68896484375,155.24871826171875,156.92735290527344,151.25575256347656,138.92999267578125,133.22000122070312,126.98999786376953,133.80999755859375,131.8300018310547,131.89999389648438,130.0500030517578,130.9199981689453
Industrial Products,2022-08-29,AA,48.898162841796875,52.24408721923828,42.15666961669922,35.25632095336914,33.41953659057617,38.73131561279297,38.07603073120117,40.76667022705078,39.20789337158203,42.097103118896484,47.43965530395508,47.09127426147461,47.6685905456543,50.15703201293945,44.871585845947266,42.522491455078125,43.99565505981445,45.25978088378906,46.145668029785156,54.35752487182617,50.76421356201172,52.50612258911133,52.49617004394531,48.46489334106445,46.6732177734375,46.23524856567383,55.2633171081543,44.70236587524414,39.03931427001953,39.9666862487793,42.439674377441406,39.049285888671875,40.28578186035156,38.0521125793457,37.034996032714844,36.04779815673828,35.27000045776367,35.9979362487793,33.689998626708984,34.939998626708984,35.22999954223633,35.619998931884766,32.84000015258789,33.93000030517578,34.09000015258789
Computer and Technology,2022-08-26,TMUS,143.02000427246094,141.97999572753906,145.6999969482422,139.9499969482422,132.3300018310547,134.1699981689453,137.58999633789062,131.52000427246094,136.4600067138672,151.0,148.8300018310547,146.19000244140625,148.8300018310547,151.0500030517578,152.41000366210938,141.57000732421875,142.36000061035156,140.02000427246094,140.0,148.57000732421875,149.67999267578125,145.1199951171875,146.72999572753906,145.19000244140625,143.6999969482422,149.35000610351562,144.41000366210938,141.89999389648438,139.50999450683594,142.4499969482422,142.5399932861328,144.83999633789062,149.61000061035156,149.58999633789062,146.22000122070312,143.89999389648438,143.55999755859375,144.1199951171875,139.02999877929688,135.14999389648438,131.19000244140625,131.36000061035156,130.92999267578125,132.8000030517578,138.89999389648438
Finance,2022-08-22,PNC,155.33567810058594,150.6044464111328,157.3948211669922,156.9063720703125,145.4997100830078,143.10536193847656,144.94419860839844,143.37351989746094,151.24473571777344,157.53167724609375,151.37046813964844,160.32693481445312,155.8777313232422,162.1549835205078,158.84710693359375,149.02978515625,145.46072387695312,149.93898010253906,152.76327514648438,158.8277587890625,158.6246337890625,151.1367645263672,159.2366943359375,161.40318298339844,155.4990234375,154.76710510253906,154.6695098876953,149.20449829101562,133.8536834716797,120.73766326904297,121.15729522705078,124.03617858886719,118.94200897216797,118.91273498535156,120.40584564208984,128.6945037841797,114.79253387451172,110.24746704101562,117.06507110595703,117.36148071289062,122.10416412353516,127.3902587890625,126.93576049804688,121.56072998046875,124.44585418701172
