CONSUMER,5/12/23,MODG,17.28000069,18.18000031,17.37000084,17.95000076,17.45999908,16.5,16.45000076,16.76000023,17.27000046,17.14999962,17.12999916,17.27000046,17.06999969,17.44000053,18.35000038,18.29000092,19.29999924,19.59000015,19.34000015,19.63999939,19.62999916,19.65999985,19.54000092,19.78000069,19.45999908,19.03000069,19.23999977,19.19000053,19.20000076,19.30999947,19.92000008,19.70999908,19.88999939,19.85000038,20.04999924,19.92000008,19.55999947,19.73999977,20.04999924,20.30999947,20.45000076,20.30999947,19.57999992,19.60000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,5/11/23,NTDOY,10.47000027,10.68000031,10.72000027,10.71000004,10.93999958,10.97000027,10.84000015,10.86999989,10.67000008,10.56999969,10.52000046,10.68000031,10.63000011,10.56999969,10.71000004,10.84000015,10.77000046,10.88000011,10.72999954,10.80000019,10.94999981,11,11.11999989,10.97000027,11.06999969,10.97000027,10.93999958,10.90999985,11.06000042,10.73999977,10.90999985,11.14999962,11.31000042,11.32999992,11.38000011,11.32999992,11.14000034,10.97000027,11.13000011,11.11999989,11.22000027,11.34000015,11.60000038,11.38000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANUFACTURING,5/5/23,CARR,42.38000107,42.59999847,42.77999878,43.08000183,42.83000183,42.40000153,42.81000137,42.15000153,42.90000153,43.27000046,42.79000092,42.43000031,41.50999832,41.29999924,41.20000076,40.88999939,41.75,40.90000153,41.5,43.43999863,43.20000076,43.84999847,45.59999847,45.59999847,45.29999924,45.83000183,46.77000046,46.15999985,46.54000092,46.88000107,47.61000061,48.22000122,47.86000061,48.04999924,48.63000107,49.49000168,49.31999969,49.49000168,49.70999908,50.04000092,49.24000168,49.06999969,49.33000183,51.25999832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMER,4/28/23,KVUE,26.89999962,26.5,26.51000023,26.28000069,26.25,26,26.5,27.5,27.03000069,27.21999931,27.04000092,27.22999954,26.06999969,26,26.45000076,26.32999992,26.29999924,25.72999954,25.09000015,25.28000069,25.54999924,25.14999962,25.17000008,25.07999992,25.11000061,25.10000038,25.02000046,25.12999916,25.34000015,25.75,26.25,26.05999947,26.20000076,26.54999924,26.47999954,26.14999962,25.88999939,25.79999924,25.98999977,26.42000008,26.04000092,25.70000076,25.62000084,25.21999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOTECH AND PHARMA,4/25/23,TMO,548.3800049,533.1300049,543.0200195,554.9000244,548.5,543.8200073,550.4199829,545.6400146,546.3800049,542.5800171,534.6599731,533.5,529.789978,524.6500244,523.6799927,519.75,521.6699829,523.539978,527.3800049,529.0200195,525.0999756,510.7200012,520.6400146,522.0200195,514.2199707,508.4599915,519.3800049,520.1400146,518.5800171,516.2600098,520.7800293,515.25,518.1799927,523.6900024,526.0499878,520.1199951,535.1099854,537.2999878,527.4000244,525.9500122,528.3099976,524.210022,522.0300293,509.6199951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETAIL,4/19/23,TJX,78.01000214,79.06999969,78.43000031,78.52999878,76.83999634,77.45999908,78.94000244,78.81999969,78.31999969,78.23999786,77.83999634,77.06999969,78.5,78.36000061,78.58999634,77.98000336,78.05999756,78.98999786,79.25,78.22000122,78.94999695,79.26999664,79.34999847,78.43000031,77.48999786,76.81999969,75.94000244,77,76.76000214,76.79000092,76.65000153,78.11000061,78.86000061,78.66999817,78.11000061,77.76000214,79.36000061,80.02999878,81.02999878,79.90000153,81.48000336,81.26000214,80.38999939,80.87000275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANUFACTURING,4/12/23,FERG,127.4800034,128.4700012,129.6199951,131.3500061,132.6100006,133.4400024,136.1699982,136.9199982,137.9400024,135.1999969,133.8300018,138.1900024,140.8200073,142.0299988,138.4100037,139.5,137.6799927,139.5099945,140.8200073,144.3899994,144.8899994,145.2299957,144.3999939,147.4400024,145.4900055,146.7200012,149.8500061,148.5500031,150.5,144.6699982,143.8099976,143.8800049,147.6600037,146.5500031,144.9100037,145.5899963,147.7599945,146.9499969,147.1399994,146.6300049,144.8699951,144.5700073,146.2299957,148.4499969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINTECH,4/7/23,JKHY,148.7200012,153.3899994,151.6100006,158.3099976,153.9600067,156.9900055,154.5800018,153.9900055,155.9400024,157.1799927,158.5099945,155.9299927,154.7700043,159.6699982,163.3399963,163.1300049,159.9600067,157.9700012,148.1000061,152.9299927,154.1999969,152.2200012,153.3000031,154.9799957,155.8099976,154.75,147.8899994,148.2400055,150.6999969,148.8000031,150.7799988,148.8899994,146.1699982,148.3099976,148.5599976,148.5599976,152.8899994,151.1699982,152.7400055,155.2299957,155.3999939,156.2100067,155.9600067,157.8899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,4/6/23,PINS,28.25,27.94000053,28.19000053,27.73999977,28.45999908,28.57999992,28.62000084,28.18000031,28.21999931,27.53000069,27.38999939,27.62999916,27.73999977,26.61000061,27.27000046,23,22.05999947,21.37000084,20.90999985,20.78000069,21.01000023,21.59000015,21.46999931,21.53000069,21.47999954,21.39999962,22.04999924,21.59000015,21.95000076,22.45999908,22.70000076,23.26000023,23.76000023,24.30999947,23.73999977,24.22999954,24.40999985,23.94000053,23.61000061,23.46999931,24.10000038,24.62999916,24.35000038,23.94000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHCARE,3/29/23,ZTS,162.6600037,164.1499939,166.4400024,167.6600037,167.0700073,167.6499939,168.9400024,170.8699951,171.2100067,171.4499969,173.5399933,174.6000061,174.6199951,174.4499969,174.9799957,174.3999939,176.8800049,176.3500061,173.0200043,172.9400024,173.9499969,175.7799988,179.5599976,176.8999939,177.7299957,178.4700012,186.2299957,184.8699951,184.3699951,185.1399994,185.1199951,183.6199951,183.8500061,181.4499969,178.9400024,179.7200012,179.5500031,179.5200043,172.6699982,169.1399994,165.2400055,164.7400055,160.9400024,163.0099945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTHCARE,3/23/23,HUM,491.3500061,502.4299927,506.9899902,483.4100037,485.75,488.3599854,485.4599915,510.25,503.3099976,516.2299805,519.9699707,524.5599976,533.7600098,532.0499878,535.2600098,523.8300171,518.8200073,512.6799927,492.8999939,490.3099976,491.2099915,501.730011,501.6900024,505.4700012,525.2800293,530.4899902,535.1300049,533.0599976,529.789978,528.5,535.0200195,535.960022,530.2000122,529.6300049,528.9899902,527.3499756,522.5,518.3499756,520.289978,513.8699951,513.5200195,513.9799805,506.9299927,506.6300049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMER,3/15/23,DRI,147.7599945,150.3600006,148.5,150.6300049,152.4299927,151.0500031,150.5200043,152.5800018,153.8000031,154.4700012,154.6699982,153.8800049,155.1600037,153.8899994,153.0899963,153.0599976,149.6999969,151.5,153.4799957,151.7400055,153.4700012,152.4199982,151.75,151.8099976,151.5500031,149.9299927,151.8500061,149.2700043,146.4600067,148.5200043,151.1999969,151.9299927,151.2599945,151.8300018,151.4700012,152.9199982,153.0899963,150.2400055,150.3300018,149.0599976,147.0099945,148.5500031,151.8899994,153.1600037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
